name,location,latitude,longitude,facility_type,offers_free_services,services
Kabale Regional Referral Hospital,Kabale Town,-1.2486,29.9899,hospital,True,"Family planning, contraceptive counseling, implants, IUDs, reproductive health, women's health"
Rugarama Hospital,Kabale,-1.2600,29.9900,private,False,"Reproductive health, family planning, contraceptive counseling, maternity, women's health"
Rushoroza Hospital,Kabale,-1.2625,29.9848,hospital,True,"Family planning, reproductive health, maternal health, antenatal care, women's health"
Kamukira Health Centre IV,Kabale,-1.2528,29.9868,health_center,True,"Family planning, contraceptive counseling, reproductive health, youth-friendly services"
Kirigime Health Centre III,Kabale,-1.2559,29.9795,health_center,True,"Family planning, contraceptive services, reproductive health, maternal health"
Kyanamira Health Centre III,Kabale,-1.2700,29.9800,health_center,True,"Basic contraceptive services, family planning, reproductive health"
Kihanga Health Centre III,Kabale,-1.2439,29.9728,health_center,True,"Family planning, implants, contraceptive counseling, maternal health"
Muko Health Centre,Kabale,-1.2368,29.9622,health_center,True,"Family planning, contraceptive counseling, reproductive health"
Buhara Health Centre,Kabale,-1.2794,29.9686,health_center,True,"Family planning, reproductive health, maternal and child health"
Butare Health Centre II,Kabale,-1.2860,29.9938,health_center,True,"Basic contraceptive services, family planning, health education"
C.O.U. Muhanga Health Centre,Kabale,-1.2662,29.9737,health_center,True,"Family planning, reproductive health, youth-friendly services"
Kabale Clinic,Kabale Town,-1.2498,29.9914,private,False,"General outpatient, contraceptive counseling, reproductive health"
Kabale International Medical Centre,Kabale Town,-1.2514,29.9946,private,False,"Women's health, reproductive health, private contraceptive services"
Kabale Medicare Services,Kabale Town,-1.2541,29.9887,private,False,"Private reproductive health, contraceptive services, women's health"
Kigezi Children's Health Centre,Kabale,-1.2572,29.9861,health_center,True,"Maternal and child health, family planning, reproductive health counseling"
Doctors' Clinic Kabale,Kabale Town,-1.2509,29.9873,private,False,"Private outpatient care, reproductive health, contraceptive counseling"
Family Health Centre Nursing Home,Kabale,-1.2586,29.9928,private,False,"Family planning, maternity, reproductive health, women's health"
Kavu Community Health Centre,Kabale,-1.2726,29.9758,health_center,True,"Family planning, reproductive health, community outreach"
Kakatunda Health Centre,Kabale,-1.2835,29.9799,health_center,True,"Basic contraceptive services, family planning, maternal health"
Kakore Health Centre,Kabale,-1.2891,29.9717,health_center,True,"Family planning, reproductive health, antenatal counseling"
Banyenzaki Memorial Health Services,Kabale,-1.2618,29.9972,private,False,"Reproductive health, contraceptive counseling, outpatient services"
Kazire Medical Clinic,Kabale Town,-1.2476,29.9958,private,False,"Private contraceptive services, reproductive health, women's health"
Kigonzi Nursing Home,Kabale,-1.2599,29.9831,private,False,"Maternity, family planning, reproductive health"